,tweet,processed,topic
12,pour la premiere fois tous les etats s engagent a accelerer la diminution du recours au charbon c est une etape encourageante nous restons mobilises pour reussir la prochaine etape une annonce de sortie du charbon signee par les grands emetteurs nous y parviendrons,premiere fois tous etats engagent a accelerer diminution recours charbon etape encourageante restons mobilises reussir prochaine etape annonce sortie charbon signee grand emetteurs parviendrons,environment
13,il y a 30 ans l allemagne etait reunifiee ouvrant la voie a la reunification europeenne aujourd hui nous defendons ensemble la democratie et le progres au coeur de notre identite notre souverainete et la solidarite europeenne notre determination europeenne nous unit,a 30 an allemagne etait reunifiee ouvrant voie a reunification europeenne aujourd hui defendons ensemble democratie progres coeur identite souverainete solidarite europeenne determination europeenne unit,economy
14,comme le sont les sapeurs pompiers je suis profondement attachee au volontariat je n appliquerai pas la decision de la cour de justice de l ue qui assimile le temps de volontariat des sapeurs pompiers a du temps de travail faceauxpompiers2022,comme sapeurs pompiers profondement attachee volontariat appliquerai decision cour justice ue assimile temp volontariat sapeurs pompiers a temp travail faceauxpompiers2022,economy
15,j ai confiance en notre capacite a nous mobiliser pour freiner le virus,confiance capacite a mobiliser freiner virus,health
16,notre priorite proteger nos concitoyens et nos entreprises face a la montee des prix du gaz au dela des mesures nationales comme le gel des prix en france nous devons trouver en europeens des mecanismes perennes pour reduire puis supprimer notre dependance au gaz russe,priorite proteger concitoyens entreprises face a montee prix gaz dela mesures nationales comme gel prix france devon trouver europeens mecanismes perennes reduire puis supprimer dependance gaz russe,economy
17,la crise sanitaire n est pas derriere nous 9200 patients sont hospitalises pour cause de covid 1600 sont en reanimation ce niveau n avait pas ete atteint depuis juin,crise sanitaire derriere 9200 patient hospitalises cause covid 1600 reanimation niveau ete atteint depuis juin,health
18,a bruaylabuissiere sur mes terres du pasdecalais j ai prone une politique du logement au service des francais ambition de l etat dans la renovation priorite nationale dans l acces au logement social on ne peut plus payer de mots les francais place a l action,a bruaylabuissiere terres pasdecalais prone politique logement service francais ambition etat renovation priorite nationale acces logement social peut plus payer mot francais place a action,education
19,a tous les proches aidants je veux vous dire ma gratitude vous incarnez la fraternite de notre devise vous faites la franceunie l etat est la pour vous epauler comment,a tous proches aidants veux dire gratitude incarnez fraternite devise faites franceunie etat epauler comment,
20,je reintegrerai les soignants qui ont ete suspendus faute de passvaccinal et je leur verserai les salaires dont ils ont ete prives lafrancedanslesyeux,reintegrerai soignants ete suspendus faute passvaccinal verserai salaires dont ete prives lafrancedanslesyeux,health
21,je pense a nos compatriotes qui ont donne leur vie au niger en afghanistan au guatemala et ailleurs pour aider les autres en cette journee internationale de l aide humanitaire rendons hommage a ces heros du quotidien,pense a compatriotes donne vie niger afghanistan guatemala ailleurs aider autres cette journee internationale aide humanitaire rendons hommage a hero quotidien,education
22,alors que se profile une penurie alimentaire avec la guerre en ukraine des militants d extreme gauche ont saccage un systeme d irrigation une semaine apres l attaque contre un train de cereales je mettrai fin a cette impunite et protegerai nos agriculteurs de ces saboteurs,alors profile penurie alimentaire guerre ukraine militant extreme gauche saccage systeme irrigation semaine apres attaque contre train cereales mettrai fin a cette impunite protegerai agriculteurs saboteur,economy
23,rt pour la france nous avons fait notre choix marinepresidente,rt france fait choix marinepresidente,economy
24,des demain en conseil des ministres nous aurons a dissoudre le groupement de fait cheikh yassine d autres actes suivront notre determination est entiere,demain conseil ministres a dissoudre groupement fait cheikh yassine autres actes suivront determination entiere,health
25,parce que la vaccination est notre plus sur atout qui reduit la transmission et divise par 10 le nombre de formes graves j en appelle aux 5 millions de francais non vaccines faites ce geste simple pour vous pour vos compatriotes toute la france compte sur vous,parce vaccination plus atout reduit transmission divise 10 nombre formes graf appelle 5 million francais non vaccine faites geste simple compatriotes toute france compte,health
26,un objectif etait au coeur de mon projet presidentiel repondre a la defiance avec le barometre des resultats de l action publique chaque citoyen peut desormais juger tres concretement de l avancee des reformes prioritaires jugez par vous memes,objectif etait coeur projet presidentiel repondre a defiance barometre resultats action publique chaque citoyen peut desormais juger tres concretement avancee reformes prioritaires jugez meme,economy
27,sur la situation en bielorussie ce que nous attendons de la russie c est un dialogue franc et sincere avec l union europeenne avec l allemagne et la france et une mediation efficace nous avons propose que l osce soit impliquee pour une mediation la russie y est favorable,situation bielorussie attendons russie dialogue franc sincere union europeenne allemagne france mediation efficace propose osce impliquee mediation russie favorable,economy
28,2 semaines 1 mois beaucoup d entre vous le demandaient le conge paternite va etre allonge,2 semaines 1 mois beaucoup entre demandaient conge paternite va etre allonge,economy
29,bienvenue a montauban forts de notre identite europeenne et de notre histoire nous allons faire de ce sommet une etape importante de la relation entre nos pays nous le devons aux 150 000 francais qui vivent en espagne et aux 190 000 espagnols en france,bienvenue a montauban fort identite europeenne histoire allons faire sommet etape importante relation entre pay devon 150 000 francais vivent espagne 190 000 espagnols france,economy
30,la france se reindustrialise choosefrance,france reindustrialise choosefrance,economy
31,lorsqu on parle des consequences du dereglement climatique on parle de vies pour la premiere fois le gouvernement francais et la polynesie ont passe un contrat de 50 millions d euros pour la construction de 17 abris afin de proteger en cas de cyclone,lorsqu parle consequence dereglement climatique parle vies premiere fois gouvernement francais polynesie passe contrat 50 million euro construction 17 abris afin proteger ca cyclone,environment
32,20 ans et deja un grand champion bravo a alexandre leaute qui remporte la premiere medaille d or francaise de la delegation paralympique,20 an deja grand champion bravo a alexandre leaute remporte premiere medaille or francaise delegation paralympique,
33,les campagnes sont aujourd hui victimes d une delinquance itinerante etrangere qui vient faire des razzias dans les exploitations agricoles ou dans les maisons il faut maitriser nos frontieres cesser avec le laxisme judiciaire recruter des gendarmes grandoagri,campagnes aujourd hui victimes delinquance itinerante etrangere vient faire razzias exploitation agricoles maisons faut maitriser frontieres cesser laxisme judiciaire recruter gendarme grandoagri,economy
34,j apporte mon soutien aux forces de l ordre qui ont ete prises pour cible cette nuit a sevran devrait s employer a retablir l ordre plutot qu a faire une tournee electorale contre ma candidature policiers gendarmes tenez bon on arrive,apporte soutien force ordre ete prises cible cette nuit a sevran devrait employer a retablir ordre plutot a faire tournee electorale contre candidature policiers gendarme tenez bon arrive,
35,j assurerai la transition vers une energie decarbonee en s appuyant sur la recherche dans le nucleaire et l hydrogene et l innovation unjourunlivret,assurerai transition vers energie decarbonee appuyant recherche nucleaire hydrogene innovation unjourunlivret,environment
36,on ne connait pas tout sur ces signes et symptomes persistants du covid long et pourtant une part de nos concitoyens vit deja avec les recherches sont engagees et notre systeme de sante s adapte il nous faut apprendre reconnaitre et prendre en charge les patients,connait tout signes symptomes persistants covid long pourtant part concitoyens vit deja recherches engagees systeme sante adapte faut apprendre reconnaitre prendre charge patient,health
37,en europeens avec la directive sur la transparence salariale qui vise a mettre fin aux ecarts de salaire entre les femmes et les hommes nous agirons concretement pour l egalite,europeens directive transparence salariale vise a mettre fin ecarts salaire entre femmes hommes agirons concretement egalite,economy
38,jamais la perspective d un vrai changement n a ete si proche mais cela ne depend que de vous n oubliez jamais et repetez le autour de vous si le peuple vote le peuple gagne dimanchejevotemarine marinepresidente,jamais perspective vrai changement a ete si proche cela depend oubliez jamais repetez autour si peuple vote peuple gagne dimanchejevotemarine marinepresidente,education
39,en cette journee mondiale contre le cancer aidez nous a relayer ce message malgre la pandemie de covid faites vous depister et ne renoncez pas aux soins,cette journee mondiale contre cancer aidez a relayer message malgre pandemie covid faites depister renoncez soins,health
40,face au harcelement en ligne nous lancerons des fevrier prochain une application qui viendra completer le dispositif 3018 elle permettra de signaler en quelques instants un fait de harcelement en transmettant des captures d ecran,face harcelement ligne lancerons fevrier prochain application viendra completer dispositif 3018 permettra signaler quelques instant fait harcelement transmettant capture ecran,economy
41,du sport pour tous partout,sport tous partout,environment
42,mon systeme de retraite est juste sur le plan social plus on entre tot sur le marche du travail plus on travaille dur plus on peut partir tot ceux qui auront commence a travailler avant 20 ans pourront partir a un age legal de 60 ans avec 40 annuites facealaguerretf1,systeme retraite juste plan social plus entre tot marche travail plus travaille dur plus peut partir tot ceux commence a travailler avant 20 an pourront partir a age legal 60 an 40 annuites facealaguerretf1,health
43,je dis aux jeunes entrez dans cette campagne pour defendre vos libertes et construire votre avenir vous avez trop subi de decisions politiques absurdes pour rester passifs n attendez pas l election faites la votez,dis jeunes entrez cette campagne defendre libertes construire avenir trop subi decision politiques absurdes rester passifs attendez election faites votez,economy
44,je veux que les harceleurs de rue soient condamnes par des delits et non pas seulement par des amendes et je souhaite les inscrire au fichier des delinquants sexuels faceauxfrancaises,veux harceleurs rue condamnes delits non seulement amendes souhaite inscrire fichier delinquants sexuels faceauxfrancaises,education
45,rt en direct 102eme anniversaire de l armistice de 1918,rt direct 102eme anniversaire armistice 1918,economy
46,emmanuel macron a aggrave toutes les injustices toutes les absurdites et tous les dangers de la mondialisation main dans la main avec la commission europeenne,emmanuel macron a aggrave toutes injustice toutes absurdites tous danger mondialisation main main commission europeenne,environment
47,je veux rendre aux francais leur argent et leur pays l economie le pouvoir d achat et de l immigration et l insecurite sont des sujets qui doivent etre traites ensemble ce sont ces sujets qui determineront demain le bonheur ou le malheur des francais,veux rendre francais argent pay economie pouvoir achat immigration insecurite sujets doivent etre traites ensemble sujets determineront demain bonheur malheur francais,economy
48,je maitriserai nos frontieres nationales pour stopper l immigration clandestine unjourunlivret,maitriserai frontieres nationales stopper immigration clandestine unjourunlivret,immigration
49,l hotellerie les cafes les restaurants le tourisme l evenementiel la culture et le sport a tous les secteurs impactes par les nouvelles decisions je veux dire que la nation sera la chomage partiel fonds de solidarite et prets garantis continuent,hotellerie cafe restaurant tourisme evenementiel culture sport a tous secteurs impactes nouvelles decision veux dire nation chomage partiel fonds solidarite prets garantis continuent,education
50,la politique d inclusion des enfants en situation de handicap est une des plus belles politiques que la france ait menees il faut la redynamiser et ouvrir des postes d accompagnants d eleves en situation de handicap,politique inclusion enfants situation handicap plus belle politiques france menees faut redynamiser ouvrir postes accompagnants eleves situation handicap,education
51,deux ans apres le traite franco allemand d aix la chapelle c est un fonds soutenant des initiatives citoyennes de nouvelles plateformes numeriques une cooperation transfrontaliere renforcee le train de nuit paris berlin 2023 et tant d autres projets qui nous rapprochent,deux an apres traite franco allemand aix chapelle fonds soutenant initiative citoyennes nouvelles plateformes numeriques cooperation transfrontaliere renforcee train nuit paris berlin 2023 tant autres projets rapprochent,environment
52,en ces temps battus par les vents destructeurs il nous faut etre comme le roc dans les tempetes opposer la serenite a l agitation la durete aux coups et la solidite aux vagues cette solidite cette rassurante solidite nous l incarnons mieux que quiconque marinepresidente,temp battus vent destructeurs faut etre comme roc tempetes opposer serenite a agitation durete coup solidite vagues cette solidite cette rassurante solidite incarnons mieux quiconque marinepresidente,economy
53,rt off comme chaque annee marine recoit un accueil chaleureux et plein d enthousiasme au pavillon des territoires d outre me,rt off comme chaque annee marine recoit accueil chaleureux plein enthousiasme pavillon territoires outre,environment
54,l intelligence artificielle est vectrice de progres extraordinaires mais elle peut aussi etre utilisee par certains pour le controle des populations la surveillance de masse la discrimination la desinformation ou la criminalite nous n avons pas attendu pour agir en actes,intelligence artificielle vectrice progres extraordinaires peut aussi etre utilisee certains controle population surveillance masse discrimination desinformation criminalite attendu agir actes,environment
55,je propose un pret de l etat de 100 000eur a taux zero pour l acces a la propriete pret qui ne sera plus rembourse a partir du troisieme enfant les familles francaises socle de notre societe ont besoin de soutien,propose pret etat 100 000eur a taux zero acces a propriete pret plus rembourse a partir troisieme enfant familles francaises socle societe besoin soutien,economy
56,les idees nationales celles pour lesquelles je me bats sont sur le point d arriver au pouvoir notre victoire est la au bout du chemin tenez bon j arrive,idees nationales celles lesquelles bat point arriver pouvoir victoire bout chemin tenez bon arrive,
57,resilience enracinement esprit de conquete amour de la liberte gout du travail bien fait patriotisme ce sont les qualites des industriels francais france2027,resilience enracinement esprit conquete amour liberte gout travail bien fait patriotisme qualites industriels francais france2027,
58,notre pays a ete pendant 13 ans engage militairement en afghanistan de 2001 a 2014 90 de nos soldats y ont perdu la vie c est a eux et a leurs familles que je veux d abord adresser mes pensees ils sont morts pour la france nous ne les oublierons pas,pay a ete pendant 13 an engage militairement afghanistan 2001 a 2014 90 soldats perdu vie a a leurs familles veux abord adresser pensees morts france oublierons,health
59,la fracture territoriale est venue aggraver la fracture sociale qui malgre nos appels n a jamais ete soignee les territoires perdus ne sont pas seulement ceux sur lesquels on ne cesse de nous apitoyer pour y deverser en vain toujours plus d argent marinepresidente,fracture territoriale venue aggraver fracture sociale malgre appels a jamais ete soignee territoires perdus seulement ceux lesquels cesse apitoyer deverser vain toujours plus argent marinepresidente,economy
60,les francais ont massivement repondu presents pour aider et accueillir les refugies ukrainiens par une aide humanitaire ou un hebergement le portail a deja recu pres de 33 000 offres pour cet elan de solidarite merci,francais massivement repondu present aider accueillir refugies ukrainiens aide humanitaire hebergement portail a deja recu pres 33 000 offres cet elan solidarite merci,economy
61,la france est un pays d ordre et de liberte pas de violence gratuite et d arbitraire,france pay ordre liberte violence gratuite arbitraire,education
62,une partie des francais ne croit plus en la politique du fait des trahisons multiples de promesses qui ont ete faites il y a un fosse qui s est cree entre les dirigeants et le peuple et ca je veux le reparer le79inter,partie francais croit plus politique fait trahisons multiple promesses ete faites a fosse cree entre dirigeants peuple ca veux reparer le79inter,economy
63,rt off marine le pen vient d arriver a la tour tf1 elle sera ce soir a partir de 20h45 sur lci pour missionconvaincrelci h,rt off marine pen vient arriver a tour tf1 soir a partir 20h45 lci missionconvaincrelci h,health
64,en s alignant sur emmanuel macron valerie pecresse renie l heritage gaullien en matiere de defense mon communique,alignant emmanuel macron valerie pecresse renie heritage gaullien matiere defense communique,economy
65,comme francaise je refuse de me resigner je veux apporter a mes compatriotes le changement qu ils appellent de leurs voeux dimanchejevotemarine,comme francaise refuse resigner veux apporter a compatriotes changement appellent leurs voeux dimanchejevotemarine,health
66,le nerf de la guerre c est la finance avec elle pour proteger notre planete nous pouvons changer la donne c est du concret a travers les initiatives que nous avons engagees continuons accelerons nous devons le faire,nerf guerre finance proteger planete pouvons changer donne concret a travers initiative engagees continuons accelerons devon faire,economy
67,lorsque je veux baisser de 20 a 5 5 la tva sur l energie fioul electricite carburants gaz evidemment que ca va profiter aux plus modestes il ne faudrait pas le faire car des gens aises vont aussi en profiter c est absurde dimanchejevotemarine,lorsque veux baisser 20 a 5 5 tva energie fioul electricite carburants gaz evidemment ca va profiter plus modestes faudrait faire car gen ai vont aussi profiter absurde dimanchejevotemarine,economy
68,j 20 avant le premier tour de l election presidentielle je creerai un ministere d etat de la mer et de l outre mer pour lancer une ambitieuse politique de la mer et revaloriser cette france du bout du monde,20 avant premier tour election presidentielle creerai ministere etat mer outre mer lancer ambitieuse politique mer revaloriser cette france bout monde,
69,le fosse entre les electeurs et les politiques doit etre comble je propose la proportionnelle integrale avec une prime majoritaire la consultation des francais par referendum et la mise en place du referendum d initiative citoyenne,fosse entre electeurs politiques doit etre comble propose proportionnelle integrale prime majoritaire consultation francais referendum mise place referendum initiative citoyenne,economy
70,les prochaines semaines nous allons construire ensemble le chemin qui nous ramenera a la vie normale tenir ensemble pour nous retrouver les etapes,prochaines semaines allons construire ensemble chemin ramenera a vie normale tenir ensemble retrouver etapes,education
71,par ailleurs j avancerai d un an le remboursement partiel de la ticpe dont beneficient les taxis afin de soulager leur tresorerie enfin le baril etant superieur a 100 j annulerai les hausses de taxes sur le carburant decidees par emmanuel macron soit 19cts par litre,ailleurs avancerai an remboursement partiel ticpe dont beneficient taxi afin soulager tresorerie enfin baril etant superieur a 100 annulerai hausses tax carburant decidees emmanuel macron 19cts litre,economy
72,au liban nos militaires contribuent a preserver la paix avec une participation importante a la force de l onu je veux leur dire combien notre engagement apres l explosion au port de beyrouth a ete apprecie l operation amitie portait bien son nom,liban militaires contribuent a preserver paix participation importante a force onu veux dire combien engagement apres explosion port beyrouth a ete apprecie operation amitie portait bien nom,economy
73,ce qui se joue dans cette election c est le destin de notre civilisation c est notre liberte la liberte d un pays est garantie par sa souverainete economique,joue cette election destin civilisation liberte liberte pay garantie souverainete economique,economy
74,nous sommes extremement attentifs a la securite de nos ressortissants au mali j ai demande en conseil de defense ce matin de tout mettre en oeuvre dans ce sens,extremement attentifs a securite ressortissants mali demande conseil defense matin tout mettre oeuvre sen,economy
75,nous voulons un etat qui par une ecole du savoir et du merite assure a nos enfants l egalite des chances et a tous un acces a l ascenseur social l avenir doit etre une chance pour chaque petit francais marinepresidente,voulons etat ecole savoir merite assure a enfants egalite chance a tous acces a ascenseur social avenir doit etre chance chaque petit francais marinepresidente,health
76,derriere l inflation des prix il y a des choix politiques elue presidente je supprimerai la tva pour une centaine de produits essentiels d hygiene et d alimentation les 10 et 24 avril conjurez la fatalite allez voter dimanchejevotemarine,derriere inflation prix a choix politiques elue presidente supprimerai tva centaine produits essentiels hygiene alimentation 10 24 avril conjurez fatalite allez voter dimanchejevotemarine,economy
77,rt off retrouvez marine le pen a 8h35 sur bfmtv et rmc elle repondra en direct aux questions de philippe corbe sur la guerre,rt off retrouvez marine pen a 8h35 bfmtv rmc repondra direct question philippe corbe guerre,economy
78,je supprimerai le travail detache qui aggrave la concurrence deloyale au detriment des travailleurs francais et devalorise la valeur du travail unjourunlivret,supprimerai travail detache aggrave concurrence deloyale detriment travailleurs francais devalorise valeur travail unjourunlivret,economy
79,il est maintenant reconnu par tous les pays du g7 que le charbon est une energie du passe et que sa sortie est un imperatif pour tous,maintenant reconnu tous pay g7 charbon energie passe sortie imperatif tous,
80,depuis quatre ans je me bats pour mettre en oeuvre une taxation internationale d au moins 15 pour les entreprises multinationales ce soir nous y sommes l ensemble des pays du g20 empruntent la voie d une mondialisation plus juste,depuis quatre an bat mettre oeuvre taxation internationale moins 15 entreprises multinationales soir ensemble pay g20 empruntent voie mondialisation plus juste,economy
81,alors que les francais sont etrangles par les prix depuis des mois le gouvernement se moque de nous en baissant le prix de 15 centimes dix jours avant le scrutin cela ne couvre meme pas les hausses de taxes 19 centimes sur le gazole imposees par emmanuel macron depuis 2015,alors francais etrangles prix depuis mois gouvernement moque baissant prix 15 centime dix jours avant scrutin cela couvre meme hausses tax 19 centime gazole imposees emmanuel macron depuis 2015,economy
82,avec la grece nous actons aujourd hui un partenariat strategique de cooperation en matiere de defense et de securite il vient renforcer notre securite collective notre autonomie strategique et notre souverainete europeenne,grece actons aujourd hui partenariat strategique cooperation matiere defense securite vient renforcer securite collective autonomie strategique souverainete europeenne,economy
83,en afrique nos forces contribuent a prevenir l emergence et le developpement de crises j ai une pensee particuliere pour nos soldats en republique centrafricaine dont la mission est particulierement sensible,afrique force contribuent a prevenir emergence developpement crisis pensee particuliere soldats republique centrafricaine dont mission particulierement sensible,economy
84,ce que je propose sur les retraites est juste et social ceux qui ont commence tot et qui ont une vie de travail difficile de partir a un age ou ils pourront profiter de leur retraite elysee2022,propose retraites juste social ceux commence tot vie travail difficile partir a age pourront profiter retraite elysee2022,environment
85,formation d un gouvernement d union nationale choc de pouvoir d achat referendum pour stopper l immigration impot sur la fortune financiere retrouvez les premieres decisions que je prendrai une fois elue presidente dimanchejevotemarine debatmacronlepen,formation gouvernement union nationale choc pouvoir achat referendum stopper immigration impot fortune financiere retrouvez premiere decision prendrai fois elue presidente dimanchejevotemarine debatmacronlepen,economy
86,en france il n y a qu une communaute c est la communaute nationale,france a communaute communaute nationale,education
87,quelle joie d etre ce soir a perpignan pour cette derniere reunion publique avant le premier tour cette ferveur que je ressens chez le peuple francais est incroyable elle me touche et elle m oblige,quelle joie etre soir a perpignan cette derniere reunion publique avant premier tour cette ferveur ressens chez peuple francais incroyable touche oblige,education
88,france relance permettra aux entreprises de retrouver de l air d investir davantage d etre toujours plus competitives ce sont ces 20 milliards d euros de baisse d impots de production la encore une action jamais faite,france relance permettra entreprises retrouver air investir davantage etre toujours plus competitives 20 milliard euro baisse impots production encore action jamais faite,economy
89,fin fevrier jeremy cohen etait assassine ecrase sous un tramway dans sa fuite suite au tabassage par une bande ce qui etait presente comme un accident pourrait etre un meurtre antisemite comment expliquer le silence sur cette affaire et ses motivations,fin fevrier jeremy cohen etait assassine ecrase sou tramway fuite suite tabassage bande etait presente comme accident pourrait etre meurtre antisemite comment expliquer silence cette affaire motivation,economy
90,pour les 35 000 jeunes ages de 16 a 18 ans en situation de decrochage scolaire l afpa est la elle remobilise par un accompagnement pendant quatre mois pour preparer un projet d insertion professionnelle et sociale,35 000 jeunes age 16 a 18 an situation decrochage scolaire afpa remobilise accompagnement pendant quatre mois preparer projet insertion professionnelle sociale,education
91,pour les jeunes pour les clubs nous lancons aujourd hui le pass sport 50 euros par enfant de 6 a 18 ans pour financer l inscription dans un club aucune demarche les parents de 5 4 millions d enfants eligibles seront informes par courrier c est du concret,jeunes club lancons aujourd hui pas sport 50 euro enfant 6 a 18 an financer inscription club aucune demarche parent 5 4 million enfants eligibles informes courrier concret,education
92,face au drame de l endometriose je souhaite creer un statut pour les femmes atteintes de cette maladie faceauxfrancaises marinepresidente,face drame endometriose souhaite creer statut femmes atteintes cette maladie faceauxfrancaises marinepresidente,health
93,les mesures que je propose permettent de faire economiser aux francais entre 15eur et 30eur par plein d essence ou de gazole a l heure ou le plein depasse les 100eur il est urgent d agir cette situation est intenable,mesures propose permettent faire economiser francais entre 15eur 30eur plein essence gazole a heure plein depasse 100eur urgent agir cette situation intenable,environment
94,dimanche 24 avril si le peuple vote le peuple gagne decouvrez ma profession de foi pour ce second tour de l election presidentielle,dimanche 24 avril si peuple vote peuple gagne decouvrez profession foi second tour election presidentielle,
95,je mettrai en place un moratoire sur le solaire et l eolien deux energies intermittentes qui ont prouve leur inefficacite et qui coutent extremement cher unjourunlivret,mettrai place moratoire solaire eolien deux energy intermittentes prouve inefficacite coutent extremement cher unjourunlivret,economy
96,nous mettrons en oeuvre le referendum d initiative citoyenne qui permettra a des electeurs avec 500 000 signatures de declencher l organisation d un referendum sur les sujets qui leur semblent meriter un debat et un arbitrage marinepresidente,mettrons oeuvre referendum initiative citoyenne permettra a electeurs 500 000 signature declencher organisation referendum sujets semblent meriter debat arbitrage marinepresidente,economy
97,je suis pour le progres je pense que c est la technologie qui repondra aux defis climatiques n envisageons pas cette question de maniere ideologique en punissant des gens qui n y sont pour rien le20h marinepresidente,progres pense technologie repondra defis climatiques envisageons cette question maniere ideologique punissant gen rien le20h marinepresidente,education
98,la france a tort d etre dans le commandement integre de l otan car elle n apparait plus comme l arbitre qu elle toujours ete et que je souhaiterais qu elle redevienne europe1 russie ukraine,france a tort etre commandement integre otan car apparait plus comme arbitre toujours ete souhaiterais redevienne europe1 russie ukraine,economy
99,a partir de 11h30 j exposerai devant la cpme les mesures que je propose pour soutenir et liberer l activite des petites et moyennes entreprises qui sont le poumon economique du pays debatcpme2022 a retrouver sur la page facebook de la cpme,a partir 11h30 exposerai devant cpme mesures propose soutenir liberer activite petite moyennes entreprises poumon economique pay debatcpme2022 a retrouver page facebook cpme,economy
100,l agriculture francaise est sure et de bonne qualite nous devons en etre fiers et la soutenir lafrancefacealaguerre facealaguerretf1 marinepresidente,agriculture francaise sure bonne qualite devon etre fiers soutenir lafrancefacealaguerre facealaguerretf1 marinepresidente,economy
101,je suis la candidate du pouvoir d achat je rendrai 150eur a 200eur par mois de pouvoir d achat aux familles francaises marinepresidente legrandoral,candidate pouvoir achat rendrai 150eur a 200eur mois pouvoir achat familles francaises marinepresidente legrandoral,economy
102,bravo les on se retrouve tous demain pour mon grand meeting de reims et le lancement de la campagne presidentielle,bravo retrouve tous demain grand meeting reims lancement campagne presidentielle,environment
103,j appliquerai la priorite nationale pour l acces a l emploi et au logement il est normal et juste que les francais soient avantages dans leur propre pays dimanchejevotemarine,appliquerai priorite nationale acces a emploi logement normal juste francais avantages propre pay dimanchejevotemarine,education
104,lutter contre le terrorisme porter des projets regionaux structurants et de vraies reponses aux defis du moyen orient tout cela on ne peut le faire qu ensemble la conference de bagdad est historique elle est deja une victoire en soi une cooperation nouvelle est nee,lutter contre terrorisme porter projets regionaux structurants vraies reponses defis moyen orient tout cela peut faire ensemble conference bagdad historique deja victoire soi cooperation nouvelle nee,education
105,rt off oui l avenir est entre vos mains pour contrer l islam radical les 10 et 24 avril votez officiel marinepresid,rt off oui avenir entre main contrer islam radical 10 24 avril votez officiel marinepresid,economy
106,les choix energetiques qui ont ete faits par ceux qui nous dirigent ont ete desastreux l influence des verts qui sont une machine a creer la penurie aura fait enormement de mal a nos industries et a notre politique energetique,choix energetiques ete faits ceux dirigent ete desastreux influence verts machine a creer penurie fait enormement mal a industry a politique energetique,
107,a partir de 14h30 suivez en direct la conference de presse que je tiendrai sur la diplomatie et la politique etrangere de la france sur facebook sur youtube,a partir 14h30 suivez direct conference presse tiendrai diplomatie politique etrangere france facebook youtube,economy
108,l histoire est en train de s ecrire et c est a vous qu il revient de tenir la plume marinepresidente,histoire train ecrire a revient tenir plume marinepresidente,education
109,dimanche 24 avril peuple de france leve toi et fais un choix emmanuel macron ou la france dimanchejevotemarine marinepresidente,dimanche 24 avril peuple france leve fais choix emmanuel macron france dimanchejevotemarine marinepresidente,economy
