,label_bert,text,true_label
91,1.0,@YohanS_FI Tu dis ça mais on ne sait pas si tu as refusé Matignon à Macron,0
92,1.0,@Mgrinn @__phiphou__ @spjustine Si vous avez commencé à 20 ans pardon mais entre la retraite à 60 ans de l'Avenir e… https://t.co/6PNK4A9LPY,1
93,1.0,Élections Législatives de juin prochain : Tous ensemble Avec le Duo #Macron-Philippe pour une majorité absolue au p… https://t.co/OzUYOsIYbp,1
94,1.0,@__Verlaine__ @BrunoLeMaire Tout était beau dans le bilan de E Macron vu par BLM...,1
95,1.0,@ProcrastineDude @juliendray Mais Macron a gagne le PS vend son « âme » en pure perte,1
96,1.0,"Bah alors, toi qui aime tant l'Europe...tu te caches..
Emmanuel Macron et la chaise vide https://t.co/FHJ4xI5zef via @FacebookWatch",1
97,1.0,"@RenaudMuselier @NicolasSarkozy @franceinfo C'est qui le président Sarkozy !
Un triste sire battu par Hollande qui… https://t.co/by5BsdLg9n",0
98,1.0,"@55Bellechasse @YvesPDB La «solution Macron». Il ne suffit plus de traverser la rue, mais carrément sept pays en y déposant nos tuyaux.",1
99,1.0,"Le grand-père de @RenaudMuselier, l'amiral Muselier, plus haut gradé de la France Libre en 1940 (inventeur de la… https://t.co/GJPHYTS46I",1
100,1.0,@RobertMenardFR Et surtout je souhaite que la France soit encore plus co beligérante dans ce conflit et que nous so… https://t.co/gzNjw2BQF2,1
101,1.0,"@chris_joujou @CLOVISPREMIER3 @VictorSinclair3 Je suis en guerre contre macron, l'allemande, et l'américain, et tou… https://t.co/X6VtmsXFT1",1
102,1.0,"Une union positive, constructive pour une majorité efficace et solide.
#aveccous 
https://t.co/RPuqm6DZs8",1
103,1.0,"Aides sociales : le versement automatique voulu par Emmanuel Macron ""est possible"" https://t.co/TYFhVpzrmM",1
104,1.0,"@MaudPK @G_Peltier Oui à l'Union des droites! Non à ceux qui le 14 avril criaient Macron démission, le 24 votaient… https://t.co/BWJGdsdQHi",1
105,1.0,"@UPR_Asselineau Cette femme, recommandée par Macron, a soit un problème psychiatrique, soit des problèmes financier… https://t.co/A57IJdWOYT",1
106,1.0,@AfloOlfa Ils veulent macron encore 5 ans pour nous amener en grève tous les mois,1
107,1.0,@cynorrhodons Se faire traiter de pro Macron quand tu vis à l'étranger et que au final tu t'en fous un peu. Ça fait bizarre...,0
108,1.0,@BFMTV C'est pas la fabuleuse ministre qui a fait interdire les néonicotinoïdes sous Hollande et les a fait reautor… https://t.co/zX124I3HfX,1
109,1.0,"« La droite doit choisir : une alternative ""bout de ficelle"" du RN qui n'a plus de cohérence ou miser sur le statut… https://t.co/yQapzdenjh",1
110,1.0,@JFB_jaimeZ0ZZ C’est rien. Macron en 5 ans nous a coûté 683 milliards d’euros. En Francs ça fait combien ? Sans com… https://t.co/IrLnicLyRK,1
111,1.0,@manuelvalls @LEXPRESS Aux côtés de Macron c'est la place des vendus de droite.,1
112,1.0,"@YvesPDB Modi ne condamne pas la Russie. Il appelle à cesser le feu avec négociation immédiates, ce qui est logique… https://t.co/usStVKSi9v",1
113,1.0,"L’Europe et Berlin, premier acte à l’international de Macron II https://t.co/VvQ9uouRfk https://t.co/g8kSR272ZD",1
114,1.0,@audejaavel @BFMTV Ce sont les mignons de Macron. Ils sucent bien il paraît mieux que Brigitte qui ferme les yeux 🙃,1
115,1.0,"L’Europe et Berlin, premier acte à l’international de Macron II https://t.co/WZAug2aIHy https://t.co/e5Ia7SkeGV",1
116,1.0,"L’Europe et Berlin, premier acte à l’international de Macron II https://t.co/YhwRf64GZm https://t.co/LK4RuSh4y0",1
117,1.0,"L’Europe et Berlin, premier acte à l’international de Macron II https://t.co/FuXnPD5rCZ https://t.co/iKMLhu1byv",1
118,1.0,@CStrateges Sans Melenchon Macron ne refait pas son mandat même reelu par les troubles sociaux .,1
119,1.0,"@davidofdavidof2 C'est grâce à Macron, sinon il serait à 2€20. Vive notre président !",1
120,1.0,"@thsankara @JLMelenchon Dans le doute, posons lui les questions ! Avec les français tout est possible, j'étais opti… https://t.co/rl0PodOQLt",1
121,1.0,"Et une de plus ! Une ! Et combien d'autres dont on n'a pas encore parlé ? 
Sans compter tous ceux-là :… https://t.co/2galMCk1GR",1
122,1.0,@FB75016 @anouchkacohen @Mediapart Mediapart a attendu que Macron soit élu pour sortir tout ça...,1
123,1.0,"@IvaMasson qu'il n'a pas apprécié les dernières critiques que Macron a fait ouvertement contre lui, quand il s'est… https://t.co/yq9J6oEDqZ",0
124,1.0,@Maneguinah @lohrentG @sandrousseau tant pis si macron est le candidat plus mal noté que Mélenchon par tous les experts/ assos sur le sujet,0
125,1.0,@Taousertova93 @RoberteRouhier Avec macron c'est déjà le fascisme. Ou vous êtes aveugle,0
126,1.0,@MartineAubry @partisocialiste @FranceInsoumise Vous parlez comme si Mélenchon avait 22% et le PS 19%. Le PS est à… https://t.co/lyBz09Ahbn,1
127,1.0,@EmmWargon @EmmanuelMacron Ptddddrrrrrr la gauche républicaine est avec macron. Meuf t'es de droite c'est tout. Arrête tes bêtises,1
128,1.0,Emmanuel Macron sera présent lundi à Strasbourg : voici son programme,1
129,1.0,France : la grosse surprise de Macron sur le futur gouvernement https://t.co/Qf2UgL2Ijt,1
130,1.0,"@LaTribune @marcendeweld « Relation chaleureuse »… Modi est un raciste, autoritaire et affairiste. Qu’il s’entende… https://t.co/YMMWda4dgm",1
131,1.0,@HomoSap60422481 @MartineAubry @partisocialiste @FranceInsoumise Pour rappel l'extreme gauche c'est NPA et FO. Alor… https://t.co/4ayGf5L8jX,0
132,1.0,@thsankara Bigfarma retire de la vente des produits anodins a la moindre suspicion de dangerosité de peur des… https://t.co/5VZKjBOu2F,0
133,1.0,@CNEWS Oui ben si ça amuse Macron...il ira avec Brizitte et les 500 connards qui l'ont soutenu.,1
134,1.0,@Mediavenir Ben oui mdr fallait pas voter Macron,1
135,1.0,@le_crabe_poilu @__phiphou__ Les 42 deviendraient 40 annuités pour une retraite à taux plein dans le projet de l'Av… https://t.co/2v7wVT7zJH,1
136,1.0,@NicolasBay_ @ZemmourEric @Reconquete_off En avant… droit dans le mur. La dynamique est chez Mélenchon et Macron. M… https://t.co/2rdikMXAKB,1
137,1.0,"Mélenchon appelle à voter pour Macron, le contacte sur sa ligne directe et c'est le premier opposant. Ils ont fumé… https://t.co/FfSu0FWfcA",1
138,1.0,@SudRadio @cecile2menibus @PatrickRogerE Plus besoins d’un type plus de droite que de gauche. Qu’il rejoigne Macron… https://t.co/HPEKZCLovg,1
139,1.0,Mais nan Macron qui m'appelle pour me demander si je veux être premier ministre ou si c'est mon compte CPF jsp le p… https://t.co/KNisXHtmF6,1
140,1.0,"@YvesPDB Quel parasite, ce Macron. Dans tout il s’immisce sournoisement, et pas pour notre bien.",1
141,1.0,@Poulin2012 Tous les vieux qui vont de-ci delà dans des camping car à plus de 80.000 € &amp; qui se plaignent de leurs… https://t.co/y962dfNdTr,1
142,1.0,les vieux quand c’est pour se lever a 6h et mettre un bulletin macron ils savent marcher mais quand c’est pour rest… https://t.co/t9eJlJToGC,1
143,1.0,Excellente nouvelle pour @HorizonsLeParti @HorizonsJeunes Pas là pour sucrer des fraises. Voir loin pour faire bien… https://t.co/fcBM9CbCrt,1
144,1.0,@le_Parisien @StephaneVojetta Si Macron prends Valls dans son gouvernement il va le regretter. Valls n'a servi à ri… https://t.co/VZKaAWQ4CQ,1
145,1.0,"@ThomasBurgel @TallerThanSoul @jojogarcin Je trouve qu'il y a des bonnes idées dans AEC, mais la mise en place est… https://t.co/Bs4c0wcLPl",1
146,1.0,@rglucks1 C’est pas le mari de Léa salame ? Celle qui semble très à l’écoute limite propagandiste dès qu’il s’agit… https://t.co/DuBUeIyWkw,1
147,1.0,"@Naboleon_3 @Remi_Niort @Poulin2012 Lol, n'allez pas dans les clichés, quant même. Je vous croyais plus malin, moi.… https://t.co/XK4RPrEq2g",0
148,1.0,@Sanveral1 C'est le morceau  de phrase débile débité  toutes les dix secondes par Macron!,0
149,1.0,"@biasn_s Des veaux soumis ont choisi la France Macron/Mélenchon. Ils en veulent de la barbarie, de la violence, de… https://t.co/ZuXrYDOsUf",1
150,1.0,@Spartac47639325 @Melinda_1996_G @s_assbague Non je suis pas dans Gta c’est ce qu’ils font dans plein d’autre pays… https://t.co/at8e19PEJg,0
151,1.0,@CCastaner @Fabien_Roussel @FranceInsoumise @JLMelenchon Je me rejouir de votre tweet qui sent la défaite aux légis… https://t.co/pOI4KlU4dj,0
152,1.0,@kevinbossuet @chevenement Cette gauche et cette droite se sont auto détruites et Mr Chevènement dont vous parlez q… https://t.co/eMXdCg7OKC,1
153,1.0,@LeoBrunswic @Space_Boxer1 @KangooNomade @MarxFanAccount Bref vous pensez que l'opposition rageuse à Macron et son… https://t.co/Z2BeFW1iB2,1
154,1.0,@kevinbossuet @chevenement Il a rallié #Macron favorable à une Europe fédéraliste. Chevènement a tout trahi et vous… https://t.co/rhSQVFFDmD,1
155,1.0,@C27813910 @f_philippot C’est tout à fait ça.  Et cette stratégie est en place depuis les premiers jours de Macron… https://t.co/xsfXCBGWmL,1
156,1.0,"@paquitalaeti95 Je le dis sincèrement, si Cazeneuve est vraiment socialiste alors Macron aussi ! Non mais francheme… https://t.co/rMdfrzjEjz",1
157,1.0,"🔴 EN DIRECT 
Plus de 200 maisons endommagées par les bombardements à Kiev, selon les autorités ukrainiennes… https://t.co/ZNQ8g43gYn",1
158,1.0,"@franceinfo La relance du nucléaire fait partie des projets d’Emmanuel Macron. Dans les centrales, les travailleurs… https://t.co/ETXNuurwa6",1
159,1.0,"macron a décidément du mal même avec ses hommes ""de main"" bruno lemaire et dupont-moretti jettent l'éponge et ne se… https://t.co/S1juPkvEx3",0
160,1.0,"« La droite doit choisir : une alternative ""bout de ficelle"" du RN qui n'a plus de cohérence ou miser sur le statut… https://t.co/6aEYh3Iy8g",1
161,1.0,"L&amp;#39;Europe et Berlin, premier acte à l&amp;#39;international de &lt;b&gt;Macron&lt;/b&gt; II | Monde | Actualités | Le Soleil… https://t.co/TTaI8frUiJ",1
162,1.0,"@MachinaSosa @CommanderTorenn @EmmanuelMacron Ils votent Macron, c’est le moins pire.",0
163,1.0,@Tony_Stark_0000 @BFMTV @faureolivier Non les traitres au #PS sont déjà chez #macron ou vont arriver #Bartolone… https://t.co/QNikyxxXyP,0
164,1.0,@CNEWS Mais @EmmanuelMacron a deja engagé la France dans une guerre contre la Russie et la France le paiera tres ch… https://t.co/V52tzPdexW,1
165,1.0,Obliger un vaccin qui n’empêche pas la transmission c’est déjà très grave mais avec le #pfizerdocuments c’est vraim… https://t.co/sgao1z4jOa,1
166,1.0,@BFMTV La belle France de Macron!🤮🤮🤮🤮,1
167,1.0,"@Raslebo75750522 @EricCaribbe @lobs Depuis le premier tour il enrage le macron.
Et Mélenchon l'a achevé 3-4 jours a… https://t.co/ETsiBo60rz",1
168,1.0,"#PS si l'accord est signé, il ne restera plus au PS que les frondeurs ou assimilés qui feront mieux de grossir les… https://t.co/75STE1vI5l",1
169,1.0,Macron lundi à Berlin pour son premier déplacement après son investiture https://t.co/xy8V1BTUKD,1
170,1.0,"#macron #vaccination #Veran
En négligeant LE vaccin français vous avez demontrer votre nullité https://t.co/dIcuOEiRPK",1
171,1.0,@PatrioteParis Aucune leçon à recevoir d’un parti qui a refusé de discuter avec @MLP_officiel avant le 1er tour et… https://t.co/UzJ7thIBq1,0
172,1.0,"@sc_cath Si les radicaux étaient nés à gauche des royalistes, ils sont progressivement devenus le centre droit de l… https://t.co/cg0QjzzzsP",1
173,1.0,Macron à mis Marine Le Pen aux ordres !! Un contrat les unis! Le pacte est-il financier ou possible judiciaire? Cel… https://t.co/3tPJEoozI0,1
174,1.0,"@ChrisWO59905017 @Pete4417 @Fabien_Roussel Ton alliance ne représente même pas 10%, ça serait l’échec assuré pour l… https://t.co/f2DpTxO0ii",1
175,1.0,"AP et FR4- Incroyable comme petit documentaire au sujet de MACRON pour les cours de français et #FLE
🇫🇷 🇫🇷 🇫🇷 

5 a… https://t.co/iff4iRjiH8",1
176,1.0,"@GilbertCollard Les veaux soumis ont choisi la France Macron/Mélenchon. Ils en veulent de la violence, de la barbar… https://t.co/yl8wCHKckF",1
177,1.0,"@barbarapompili Écologie : 5 ans d'arnaque d'Emmanuel Macron
Social : Nul
Pour le reste, un quinquennat de la Honte… https://t.co/3z6X8wNtXv",1
178,1.0,"@OracleDelphique C'est clair que la fidélité du Modem envers Macron est plus assuré par rapport à Horizons, et c'es… https://t.co/PObaxl6IXX",1
179,1.0,"Spécial dédicace à la #gauchetrouduc, cad la @FranceInsoumise  &amp; ses alliées🍉faux écolos ou bourgeois gamellards du… https://t.co/CQDL7mzO3c",1
180,1.0,@patrice_leclerc @BCazeneuve Bon débarras de ceux-là qui cautionnaient macron par leur complaisance et leur molless… https://t.co/iNiASEDiCa,1
181,1.0,"TU ES VRAIMENT UNE CONNE TU AS CRU QUE LES ÉLECTEURS DE LA RECONQUÊTE SONT VENUS À TOI, SIMPLEMENT C'EST POUR FAIRE… https://t.co/eN4s24YKmJ",0
182,1.0,"@ECiotti Les veaux soumis ont choisi la France Macron/Mélenchon. Ils en veulent de la violence, de la barbarie, de… https://t.co/uDs3jlvtSW",1
183,1.0,"@MarieLaureGB @franceinfo C'est peut-être le titre un peu simpliste de Franceinfo. 

Si c'est le cas, ça signifie q… https://t.co/0tGZw9LFcJ",1
184,1.0,"@florencedesruol @vpecresse Bah si .. tout s’achète en #Macronie .. 

Quelle déception ! Je pensais pas un jour écr… https://t.co/Iq5cAgAhJq",0
185,1.0,"@BFMTV Le type appelle à voter pour Macron, le contacte sur sa ligne directe et c'est le premier opposant. Ils ont… https://t.co/2nknCO5m5v",1
186,1.0,"@wagnermichele3 @NawakNawak Alors que le libéralisme à outrance de Macron, ça c’est frais et innovant. https://t.co/SVphfdZ5wH",1
187,1.0,"En savoir plus

📝https://t.co/DKadiuvAYo",1
188,1.0,@NR_Tours Raison de plus pour ne pas donner la majorité à Macron pour son nouveau mandat !!,1
189,1.0,"@PhilippePoutou Quoi, en rupture avec les politiq. libérales !! N'a t-il pas récemment appeler à voter Macron. Il e… https://t.co/rZyXJzPcZn",0
190,1.0,@Sanveral1 Pareil ! Ça m'agace au plus haut point. Du Macron tt craché ça,1
191,1.0,@magdalenamalabo @__phiphou__ @YNefau Alors 40 annuités pour une retraite à taux plein dans le projet de l'Avenir e… https://t.co/Q9mfLBTGzm,1
192,1.0,mon prof d’éco qui nous dit clairement qu’il a voté macron même si il le trouve « imbuvable » prcq il mourra avant… https://t.co/TJih40P9Ug,1
193,1.0,@BFMTV Sortant de la bouche d’une Judas qui collabore avec le pouvoir macronien ! C’est tellement «  exquis «  ! El… https://t.co/4pNCOGC4bS,1
194,1.0,"Taha Bouhafs : des attaques de toutes part, y compris du côté de Macron https://t.co/Gue0rUl03r",1
